mssv,ma_mon,diem_so,hoc_ky,nam_hoc
22520001,IT001,8,1,2022-2023
22520001,MA006,3,1,2022-2023
22520001,MA003,7.5,1,2022-2023
22520001,IE005,9,1,2022-2023
22520001,SS006,8.5,1,2022-2023
22520001,ENG01,7,1,2022-2023
22520001,IT002,8.5,2,2022-2023
22520001,IT003,8,2,2022-2023
22520001,SS004,9,2,2022-2023
22520001,MA004,7.5,2,2022-2023
22520001,ENG02,7.5,2,2022-2023
22520001,MA006,8.5,3,2022-2023
22520001,IT004,8,1,2023-2024
22520001,IT005,7.5,1,2023-2024
22520001,IT012,8,1,2023-2024
22520001,MA005,7,1,2023-2024
22520001,ENG03,8,1,2023-2024
22520001,SS003,8.5,2,2023-2024
22520001,SS007,7.5,2,2023-2024
22520001,IT007,8,2,2023-2024
22520001,IE101,8.5,2,2023-2024
22520001,IE103,9,2,2023-2024
22520001,SS008,8,1,2024-2025
22520001,SS009,8.5,1,2024-2025
22520001,IE104,8,1,2024-2025
22520001,IE106,9,1,2024-2025
22520001,PE231,8,1,2024-2025
22520001,IE204,8.5,1,2024-2025
22520001,SS010,8,2,2024-2025
22520001,IE105,8.5,2,2024-2025
22520001,PE232,8.5,2,2024-2025
22520001,IE213,9,2,2024-2025
22520001,IS353,8.5,2,2024-2025
22520001,IE207,9,1,2025-2026
22520001,IS334,8,1,2025-2026
22520001,IE303,8.5,1,2025-2026
22520001,IE307,8,1,2025-2026
22520001,TLH025,8.5,1,2025-2026
22520001,IE310,9,1,2025-2026
22520001,IE505,9,2,2025-2026
22520001,IE221,8.5,2,2025-2026
