ma_mon,ten_mon,so_tin_chi,loai_khoi_kien_thuc
IT001,Nhập môn lập trình,4,DC
IT002,Lập trình hướng đối tượng,4,CSN
IT003,Cấu trúc dữ liệu và giải thuật,4,CSN
IT004,Cơ sở dữ liệu,4,CSN
IT005,Nhập môn mạng máy tính,4,CSN
IT012,Tổ chức và cấu trúc máy tính II,4,CSN
IT007,Hệ điều hành,4,CSN
IE005,Giới thiệu ngành Công nghệ thông tin,1,CSN
MA006,Giải tích,4,DC
MA003,Đại số tuyến tính,3,DC
MA004,Cấu trúc rời rạc,4,DC
MA005,Xác suất thống kê,3,DC
ENG01,Anh văn 1,4,DC
ENG02,Anh văn 2,4,DC
ENG03,Anh văn 3,4,DC
PE231,Giáo dục thể chất 1,1,DC
PE232,Giáo dục thể chất 2,1,DC
IE105,Nhập môn bảo đảm và an ninh thông tin,4,CSN
IE108,Phân tích thiết kế phần mềm,4,CSN
SS004,Kỹ năng nghề nghiệp,2,DC
IE201,Xử lý dữ liệu thống kê,3,CN
IE212,Công nghệ Dữ liệu lớn,4,CN
IS217,Kho dữ liệu và OLAP,3,CN
IS254,Hệ hỗ trợ ra quyết định,3,CN
IE221,Kỹ thuật lập trình Python,4,CN
IE224,Phân tích dữ liệu,4,CN
IE309,Thực tập doanh nghiệp,2,CN
BUS1125,Khởi nghiệp kinh doanh,3,CN
IE231,Quản trị doanh nghiệp công nghệ thông tin,3,CN
IE203,Hệ thống quản trị qui trình nghiệp vụ,4,CN
IS208,Quản lý dự án công nghệ thông tin,4,CN
IS336,Hoạch định nguồn lực doanh nghiệp,4,CN
IE301,Quản trị quan hệ khách hàng,3,CN
IE302,Kiến trúc và tích hợp hệ thống,3,CN
IE102,Các công nghệ nền,3,CN
IE204,Tối ưu hóa công cụ tìm kiếm (SEO),4,CN
IE213,Kỹ thuật phát triển hệ thống Web,4,CN
IS353,Mạng xã hội,3,CN
IS334,Thương mại điện tử,3,CN
IE303,Công nghệ Java,4,CN
IE307,Công nghệ lập trình đa nền tảng cho ứng dụng di động,4,CN
IS251,Nhập môn hệ thống thông tin địa lý,4,CN
IS352,Hệ cơ sở dữ liệu không gian,4,CN
IS351,Phân tích không gian,4,CN
IE205,Xử lý ảnh vệ tinh,3,CN
IE304,Hệ thống định vị toàn cầu,3,CN
IE305,Tin học môi trường,2,CN
TLH025,Tâm lý học nhân cách,3,CN
IE310,Tư duy thiết kế,3,CN
IE207,Đồ án,2,CN
IE505,Khóa luận tốt nghiệp,10,CN
IE401,Tin-Sinh học,3,CN
IE402,Hệ thống thông tin địa lý 3 chiều,4,CN
IE403,Khai thác dữ liệu truyền thông xã hội,3,CN
IE405,Công nghệ phân tích dữ liệu lớn,4,CN
SS003,Tư tưởng Hồ Chí Minh,2,DC
SS006,Pháp luật đại cương,2,DC
SS007,Triết học Mác – Lênin,3,DC
SS008,Kinh tế chính trị Mác – Lênin,2,DC
SS009,Chủ nghĩa xã hội khoa học,2,DC
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,DC
IE101,Cơ sở hạ tầng công nghệ thông tin,3,CSN
IE103,Quản lý thông tin,4,CSN
IE104,Internet và công nghệ web,4,CSN
IE106,Thiết kế giao diện người dùng,4,CN
